UCL_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL221031,0,0,0,5,0,0,0,0,0,5,3,0,0,0,3,0,5,0,0,14,19,19,55,85,62,54,8,0,0,296
UCL221032,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,5,0,0,0,5,16,20,27,61,58,36,14,0,0,238
UCL221033,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,9,7,10,37,21,28,62,23,0,0,197
UCL221034,5,0,0,3,5,4,0,0,0,23,0,4,4,6,8,4,0,0,0,24,30,45,46,136,132,65,11,0,0,465
UCL221035,0,0,0,0,0,0,0,0,0,3,3,3,3,0,6,0,0,0,0,22,9,19,37,35,56,49,20,0,0,229
UCL221036,0,0,4,3,0,0,0,0,0,7,0,0,0,0,0,5,0,0,0,11,25,30,66,79,92,77,18,0,0,384
UCL221037,0,0,0,0,7,4,0,0,0,14,5,0,0,5,0,5,0,0,0,13,17,26,47,49,62,58,27,0,0,300
UCL221038,0,3,5,0,10,5,0,0,0,21,0,0,4,4,9,0,0,0,0,25,23,24,76,95,125,65,15,4,0,430
UCL221039,3,0,0,0,5,5,6,0,0,21,0,0,0,0,0,5,0,0,0,14,25,26,61,53,68,78,31,11,0,358
UCL221040,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,4,0,0,0,8,30,18,41,45,76,71,17,0,0,291
UCL221041,0,0,0,0,0,0,0,0,0,14,0,0,4,0,4,0,0,0,0,18,20,13,71,66,78,57,22,0,0,323
