UCL_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
UCL221005,0,3,0,3,0,4,0,0,0,16,0,4,0,0,0,3,0,0,5,12,14,40,34,25,35,70,15,62,5,304
UCL221006,0,0,0,0,5,0,0,0,0,12,0,0,0,0,4,0,0,0,0,8,20,50,45,38,50,67,17,32,9,308
UCL221007,0,3,3,0,0,0,0,0,0,6,4,4,0,0,5,6,0,0,0,11,20,34,30,19,46,36,11,26,3,218
UCL221008,0,4,0,0,0,0,0,0,0,9,0,0,0,0,4,0,0,0,0,13,19,49,26,33,28,53,15,33,5,267
UCL221009,4,0,0,0,0,6,4,0,0,12,4,5,0,0,0,0,0,0,0,13,20,39,31,25,61,49,15,28,4,277
UCL221010,0,0,3,0,0,0,4,3,0,12,0,0,0,0,0,4,0,0,5,10,24,46,33,18,50,46,15,29,8,267
UCL221011,0,0,0,0,0,4,0,4,0,11,0,0,0,0,0,0,0,3,0,6,15,61,41,30,52,65,20,60,0,353
UCL221012,0,3,3,0,0,0,3,4,0,16,0,0,0,0,4,0,0,0,0,7,12,31,25,21,44,51,14,53,3,254
UCL221013,0,0,0,0,3,0,0,0,0,6,0,0,5,5,8,3,0,3,3,22,17,42,37,25,65,81,12,29,3,310
UCL221014,0,5,3,0,6,0,0,0,0,10,0,4,0,0,0,3,0,5,0,10,29,70,56,43,63,88,24,31,6,407
UCL221015,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,9,15,47,25,18,34,44,20,35,4,242
UCL221016,0,4,7,0,4,0,3,6,0,23,0,0,0,3,0,0,0,3,0,10,32,73,46,38,97,94,37,65,5,475
UCL221017,0,5,0,0,0,3,0,0,0,12,4,6,0,0,0,3,0,0,6,11,18,81,45,41,63,64,16,43,16,395
