SAL_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
SAL22681,4,10,4,3,0,33,7,0,7,8,6,0,34,0,0,0,4,3,0,6,0,0,0,0,3,0,6,0,0,0,0,0,0,0,14,10,45,33,79,4,171
SAL22682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
SAL22683,0,0,0,0,0,9,0,3,0,0,7,4,15,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,4,4,3,17,13,38,10,78
SAL22684,4,0,0,0,0,3,0,0,6,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,6,16,0,38
SAL22685,72,217,59,55,7,532,119,75,353,162,150,21,884,6,7,28,5,19,0,57,21,7,41,31,96,4,201,31,0,63,30,47,22,192,751,261,1842,827,1159,128,4968
SAL22686,87,342,84,83,10,819,220,94,533,190,189,31,1254,15,0,39,15,12,0,77,32,7,69,66,123,6,295,62,7,115,45,62,35,322,1433,358,3117,1142,1467,202,7724
SAL22687,0,0,0,0,0,3,0,0,8,4,6,0,26,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,5,6,16,12,43,7,92
SAL22688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,3,0,18
SAL22689,20,25,14,3,6,90,6,8,31,26,34,0,113,0,0,8,3,0,0,14,4,0,0,3,16,0,24,5,0,4,11,10,8,34,64,35,132,112,193,17,564
SAL22690,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,3,0,0,4,3,14,0,21
